Iteration,Loss,SSIM,PSNR,Num_Gaussians
100,0.19788327813148499,0.531154215335846,14.67283821105957,182686
200,0.14763951301574707,0.6016920804977417,16.590843200683594,182686
300,0.1451527625322342,0.6329758763313293,17.410213470458984,182686
400,0.16920822858810425,0.6482352614402771,17.80929946899414,182686
500,0.1483469158411026,0.6219303607940674,16.129159927368164,155732
600,0.14743314683437347,0.6210264563560486,16.812456130981445,167251
700,0.14533323049545288,0.6272342801094055,17.07172203063965,181076
800,0.13070794939994812,0.6385505795478821,17.579872131347656,194986
900,0.08453896641731262,0.63835209608078,17.327688217163086,209721
1000,0.14724010229110718,0.6463197469711304,17.85354995727539,223851
1100,0.1831485629081726,0.6533898115158081,18.18766212463379,238698
1200,0.13931652903556824,0.6533963084220886,18.301145553588867,253457
1300,0.13864102959632874,0.667160153388977,18.601064682006836,271003
1400,0.09374378621578217,0.672991156578064,18.700353622436523,284772
1500,0.1592119336128235,0.6687972545623779,18.609073638916016,301717
1600,0.20318424701690674,0.6772936582565308,18.89138412475586,318074
1700,0.09894441068172455,0.6793050765991211,18.90273094177246,335364
1800,0.29366666078567505,0.6841141581535339,18.909801483154297,351469
1900,0.10757005214691162,0.6875654458999634,19.06598663330078,367879
2000,0.12257304787635803,0.6911145448684692,19.114931106567383,385947
2100,0.16266314685344696,0.6875112056732178,19.14751434326172,403591
2200,0.1008554995059967,0.6898909211158752,19.17174530029297,419638
2300,0.10121263563632965,0.6932672262191772,19.253812789916992,436980
2400,0.10366833209991455,0.7012192010879517,19.390296936035156,455031
2500,0.2089572697877884,0.6984416842460632,19.327838897705078,474114
2600,0.1612483561038971,0.693601667881012,19.105405807495117,492210
2700,0.08451221883296967,0.6987766623497009,19.285531997680664,511802
2800,0.14954358339309692,0.7009488940238953,19.29557228088379,531945
2900,0.08176359534263611,0.7065531015396118,19.542898178100586,552053
3000,0.1268010139465332,0.6989685893058777,19.394819259643555,572333
